Kategori: Tüm kategoriler

Ay,TCMB Faiz Oranı: (Türkiye)
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,30
2015-06,0
2015-07,26
2015-08,0
2015-09,0
2015-10,0
2015-11,28
2015-12,39
2016-01,35
2016-02,0
2016-03,0
2016-04,0
2016-05,32
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,32
2016-12,0
2017-01,29
2017-02,38
2017-03,58
2017-04,27
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,26
2017-12,57
2018-01,25
2018-02,48
2018-03,25
2018-04,57
2018-05,44
2018-06,27
2018-07,55
2018-08,34
2018-09,38
2018-10,39
2018-11,0
2018-12,27
2019-01,42
2019-02,45
2019-03,30
2019-04,42
2019-05,28
2019-06,31
2019-07,0
2019-08,0
2019-09,32
2019-10,51
2019-11,37
2019-12,58
2020-01,37
2020-02,56
2020-03,32
2020-04,0
2020-05,27
2020-06,44
2020-07,29
2020-08,32
2020-09,51
2020-10,39
2020-11,0
2020-12,23
2021-01,52
2021-02,0
2021-03,36
2021-04,47
2021-05,40
2021-06,43
2021-07,35
2021-08,0
2021-09,51
2021-10,0
2021-11,35
2021-12,62
2022-01,51
2022-02,35
2022-03,45
2022-04,40
2022-05,41
2022-06,36
2022-07,35
2022-08,69
2022-09,67
2022-10,43
2022-11,61
2022-12,47
2023-01,74
2023-02,38
2023-03,40
2023-04,75
2023-05,48
2023-06,100
2023-07,49
2023-08,67
2023-09,96
2023-10,77
2023-11,71
2023-12,91
