Kategori: Tüm kategoriler

Ay,işsizlik maaşı: (Türkiye)
2015-01,30
2015-02,29
2015-03,25
2015-04,24
2015-05,25
2015-06,29
2015-07,29
2015-08,26
2015-09,28
2015-10,29
2015-11,32
2015-12,31
2016-01,48
2016-02,42
2016-03,40
2016-04,40
2016-05,29
2016-06,37
2016-07,39
2016-08,46
2016-09,41
2016-10,47
2016-11,38
2016-12,43
2017-01,51
2017-02,45
2017-03,39
2017-04,35
2017-05,34
2017-06,41
2017-07,37
2017-08,38
2017-09,34
2017-10,38
2017-11,37
2017-12,36
2018-01,48
2018-02,39
2018-03,37
2018-04,35
2018-05,35
2018-06,37
2018-07,39
2018-08,43
2018-09,53
2018-10,48
2018-11,55
2018-12,75
2019-01,91
2019-02,67
2019-03,50
2019-04,46
2019-05,63
2019-06,49
2019-07,54
2019-08,41
2019-09,48
2019-10,48
2019-11,43
2019-12,48
2020-01,52
2020-02,42
2020-03,78
2020-04,100
2020-05,44
2020-06,37
2020-07,36
2020-08,32
2020-09,30
2020-10,31
2020-11,28
2020-12,31
2021-01,33
2021-02,30
2021-03,30
2021-04,29
2021-05,27
2021-06,34
2021-07,49
2021-08,41
2021-09,37
2021-10,32
2021-11,31
2021-12,43
2022-01,58
2022-02,53
2022-03,44
2022-04,43
2022-05,35
2022-06,42
2022-07,53
2022-08,46
2022-09,43
2022-10,44
2022-11,39
2022-12,53
2023-01,57
2023-02,47
2023-03,44
2023-04,37
2023-05,39
2023-06,50
2023-07,52
2023-08,49
2023-09,48
2023-10,42
2023-11,39
2023-12,50
