Kategori: Tüm kategoriler

Ay,kredi kartı borcu: (Türkiye)
2015-01,39
2015-02,39
2015-03,43
2015-04,40
2015-05,36
2015-06,35
2015-07,41
2015-08,38
2015-09,32
2015-10,35
2015-11,33
2015-12,36
2016-01,40
2016-02,40
2016-03,32
2016-04,32
2016-05,33
2016-06,33
2016-07,39
2016-08,49
2016-09,61
2016-10,50
2016-11,50
2016-12,39
2017-01,40
2017-02,42
2017-03,35
2017-04,29
2017-05,33
2017-06,31
2017-07,36
2017-08,28
2017-09,27
2017-10,28
2017-11,29
2017-12,26
2018-01,29
2018-02,27
2018-03,26
2018-04,26
2018-05,24
2018-06,26
2018-07,28
2018-08,26
2018-09,29
2018-10,28
2018-11,30
2018-12,29
2019-01,93
2019-02,39
2019-03,27
2019-04,26
2019-05,25
2019-06,24
2019-07,29
2019-08,26
2019-09,24
2019-10,24
2019-11,29
2019-12,24
2020-01,25
2020-02,25
2020-03,100
2020-04,60
2020-05,23
2020-06,20
2020-07,22
2020-08,21
2020-09,18
2020-10,18
2020-11,23
2020-12,29
2021-01,23
2021-02,26
2021-03,25
2021-04,22
2021-05,22
2021-06,22
2021-07,24
2021-08,25
2021-09,24
2021-10,26
2021-11,25
2021-12,21
2022-01,24
2022-02,25
2022-03,23
2022-04,26
2022-05,24
2022-06,26
2022-07,26
2022-08,29
2022-09,26
2022-10,31
2022-11,27
2022-12,27
2023-01,27
2023-02,32
2023-03,29
2023-04,29
2023-05,28
2023-06,32
2023-07,37
2023-08,34
2023-09,36
2023-10,34
2023-11,42
2023-12,39
