Kategori: Tüm kategoriler

Ay,linkedin: (Türkiye)
2015-01,55
2015-02,59
2015-03,59
2015-04,56
2015-05,53
2015-06,57
2015-07,61
2015-08,63
2015-09,59
2015-10,62
2015-11,63
2015-12,60
2016-01,49
2016-02,57
2016-03,54
2016-04,50
2016-05,51
2016-06,54
2016-07,44
2016-08,49
2016-09,47
2016-10,51
2016-11,51
2016-12,45
2017-01,47
2017-02,46
2017-03,47
2017-04,43
2017-05,44
2017-06,42
2017-07,48
2017-08,48
2017-09,48
2017-10,50
2017-11,50
2017-12,44
2018-01,47
2018-02,49
2018-03,52
2018-04,50
2018-05,49
2018-06,44
2018-07,48
2018-08,43
2018-09,50
2018-10,51
2018-11,50
2018-12,47
2019-01,50
2019-02,55
2019-03,50
2019-04,48
2019-05,51
2019-06,52
2019-07,59
2019-08,55
2019-09,63
2019-10,61
2019-11,64
2019-12,59
2020-01,60
2020-02,61
2020-03,52
2020-04,48
2020-05,48
2020-06,56
2020-07,60
2020-08,64
2020-09,65
2020-10,59
2020-11,55
2020-12,53
2021-01,56
2021-02,61
2021-03,64
2021-04,61
2021-05,56
2021-06,63
2021-07,59
2021-08,69
2021-09,77
2021-10,78
2021-11,72
2021-12,69
2022-01,83
2022-02,89
2022-03,89
2022-04,86
2022-05,84
2022-06,88
2022-07,87
2022-08,100
2022-09,95
2022-10,91
2022-11,85
2022-12,89
2023-01,88
2023-02,82
2023-03,88
2023-04,82
2023-05,79
2023-06,75
2023-07,82
2023-08,79
2023-09,81
2023-10,79
2023-11,74
2023-12,71
