Kategori: Tüm kategoriler

Ay,market fiyatları: (Türkiye)
2015-01,20
2015-02,22
2015-03,20
2015-04,20
2015-05,19
2015-06,20
2015-07,23
2015-08,21
2015-09,25
2015-10,22
2015-11,21
2015-12,22
2016-01,20
2016-02,19
2016-03,18
2016-04,18
2016-05,20
2016-06,19
2016-07,18
2016-08,21
2016-09,22
2016-10,21
2016-11,18
2016-12,22
2017-01,21
2017-02,23
2017-03,19
2017-04,22
2017-05,22
2017-06,23
2017-07,24
2017-08,26
2017-09,23
2017-10,22
2017-11,26
2017-12,25
2018-01,23
2018-02,23
2018-03,23
2018-04,22
2018-05,25
2018-06,25
2018-07,26
2018-08,28
2018-09,37
2018-10,32
2018-11,31
2018-12,31
2019-01,30
2019-02,33
2019-03,27
2019-04,29
2019-05,30
2019-06,27
2019-07,33
2019-08,33
2019-09,30
2019-10,32
2019-11,31
2019-12,31
2020-01,28
2020-02,30
2020-03,37
2020-04,46
2020-05,39
2020-06,36
2020-07,39
2020-08,33
2020-09,37
2020-10,40
2020-11,37
2020-12,42
2021-01,39
2021-02,40
2021-03,38
2021-04,43
2021-05,38
2021-06,40
2021-07,42
2021-08,39
2021-09,41
2021-10,55
2021-11,62
2021-12,85
2022-01,67
2022-02,68
2022-03,100
2022-04,72
2022-05,63
2022-06,58
2022-07,59
2022-08,72
2022-09,60
2022-10,56
2022-11,52
2022-12,56
2023-01,52
2023-02,42
2023-03,50
2023-04,44
2023-05,41
2023-06,47
2023-07,47
2023-08,49
2023-09,43
2023-10,41
2023-11,37
2023-12,40
